,real_price
35598,6.4
35599,7.92
35600,12.3
35601,14.36
35602,14.39
35603,14.38
35604,11.6
35605,7.78
35606,12.98
35607,17.74
35608,22.93
35609,44.71
35610,47.25
35611,22.26
35612,19.27
35613,19.27
35614,24.41
35615,29.62
35616,22.59
35617,21.46
35618,17.9
35619,13.24
35620,13.23
35621,12.08
35622,10.9
35623,12.68
35624,13.25
35625,13.24
35626,13.24
35627,21.64
35628,18.65
35629,21.61
35630,20.69
35631,13.75
35632,21.57
35633,23.13
35634,22.25
35635,21.14
35636,20.66
35637,22.32
35638,22.04
35639,18.0
35640,16.44
35641,15.76
35642,16.45
35643,20.38
35644,20.61
35645,22.53
35646,22.6
35647,26.15
35648,29.49
35649,26.89
35650,22.8
35651,24.5
35652,24.7
35653,24.7
35654,24.41
35655,24.83
35656,26.15
35657,28.05
35658,26.16
35659,25.25
35660,23.83
35661,22.15
35662,20.31
35663,14.32
35664,9.02
35665,5.32
35666,0.0
35667,0.0
35668,0.0
35669,0.0
35670,4.52
35671,17.57
35672,23.46
35673,23.21
35674,26.41
35675,27.3
35676,27.04
35677,23.7
35678,23.29
35679,23.13
35680,23.91
35681,25.65
35682,23.6
35683,23.06
35684,22.41
35685,21.85
35686,23.12
35687,15.61
35688,15.97
35689,10.31
35690,13.26
35691,13.25
35692,13.98
35693,22.1
35694,23.64
35695,23.78
35696,23.88
35697,25.95
35698,26.65
35699,26.25
35700,24.43
35701,23.01
35702,21.23
35703,22.47
35704,23.99
35705,27.15
35706,24.23
35707,22.65
35708,23.48
35709,23.64
35710,28.58
35711,20.87
35712,14.36
35713,12.92
35714,3.43
35715,0.0
35716,0.0
35717,1.37
35718,12.22
35719,13.34
35720,14.36
35721,14.35
35722,14.35
35723,15.91
35724,17.83
35725,15.91
35726,15.76
35727,13.66
35728,20.16
35729,27.01
35730,24.28
35731,24.1
35732,19.01
35733,12.27
35734,18.36
35735,17.41
35736,46.26
35737,42.94
35738,19.58
35739,14.35
35740,14.32
35741,4.15
35742,23.25
35743,27.24
35744,28.0
35745,28.04
35746,27.56
35747,25.39
35748,24.66
35749,24.2
35750,21.6
35751,24.08
35752,26.47
35753,28.72
35754,28.51
35755,28.05
35756,28.1
35757,28.03
35758,24.98
35759,26.91
35760,24.06
35761,23.96
35762,23.87
35763,23.9
35764,23.87
35765,24.41
35766,25.5
35767,27.8
35768,27.8
35769,27.75
35770,27.78
35771,27.2
35772,25.84
35773,24.25
35774,25.17
35775,24.59
35776,25.34
35777,41.57
35778,38.25
35779,27.56
35780,25.91
35781,24.63
35782,23.9
35783,15.49
35784,14.36
35785,5.07
35786,0.0
35787,0.0
35788,0.0
35789,0.0
35790,1.47
35791,11.57
35792,22.03
35793,13.67
35794,24.14
35795,21.03
35796,23.79
35797,15.06
35798,14.34
35799,8.72
35800,24.3
35801,21.56
35802,21.32
35803,24.47
35804,24.16
35805,24.83
35806,14.06
35807,7.39
35808,13.35
35809,8.5
35810,6.84
35811,6.68
35812,9.73
35813,24.46
35814,27.12
35815,28.33
35816,28.79
35817,29.49
35818,28.42
35819,28.1
35820,27.98
35821,24.3
35822,24.23
35823,24.16
35824,24.73
35825,26.52
35826,25.31
35827,24.36
35828,24.38
35829,24.34
35830,24.32
